example_id,question_id,question,relevant_chunk,article_url
1,1,What is the innovation behind Leclanché's new method to produce lithium-ion batteries?,"Leclanché said it has developed an environmentally friendly way to produce lithium-ion (Li-ion) batteries. It has replaced highly toxic organic solvents, commonly used in the production process, with a water-based process to make nickel-manganese-cobalt-aluminium cathodes (NMCA).",https://www.sgvoice.net/strategy/technology/23971/leclanches-new-disruptive-battery-boosts-energy-density/
2,2,What is the EU’s Green Deal Industrial Plan?,"The Green Deal Industrial Plan is a bid by the EU to make its net zero industry more competitive and to accelerate its transition to net zero. It intends to support the expansion of European manufacturing of technologies, goods and services needed to achieve its climate targets.",https://www.sgvoice.net/policy/25396/eu-seeks-competitive-boost-with-green-deal-industrial-plan/
3,2,What is the EU’s Green Deal Industrial Plan?,"The European counterpart to the US Inflation Reduction Act (IRA) aims to create an environment that is conducive to increasing the European Union's manufacturing capacity of “net-zero” technologies, to improve the competitiveness of European industry.",https://www.pv-magazine.com/2023/02/02/european-commission-introduces-green-deal-industrial-plan/
4,3,What are the four focus areas of the EU's Green Deal Industrial Plan?,"The new plan is fundamentally focused on four areas, or pillars: the regulatory environment, access to finance, enhancing skills, and improving supply chain resilience. It also builds on other initiatives, such as REPowerEU, as well as the strength of the single market.",https://www.sgvoice.net/policy/25396/eu-seeks-competitive-boost-with-green-deal-industrial-plan/
5,4,When did the cooperation between GM and Honda on fuel cell vehicles start?,"What caught our eye was a new hookup between GM and Honda. Honda was also hammering away at the challenge of introducing fuel cell vehicles to the US market. The collaboration launched in July of 2013, providing for the two companies to share the combined total of 1,200 fuel cell patents they compiled in the years leading up to 2012.",https://cleantechnica.com/2023/05/08/general-motors-seizes-the-fuel-cell-moment-with-green-hydrogen/
6,5,Did Colgate-Palmolive enter into PPA agreements with solar developers?,"Scout Clean Energy, a Colorado-based renewable energy developer, owner and operator, has signed a power purchase agreement with Colgate-Palmolive for power from Scout’s 209 MW DC Markum Solar Farm near Waco, Texas.",https://solarindustrymag.com/scout-and-colgate-palmolive-sign-ppa-for-texas-solar-farm
7,6,What is the status of ZeroAvia's hydrogen fuel cell electric aircraft?,"In December, the US startup ZeroAvia announced that its retrofitted 19-seat Dornier 228 hydrogen fuel cell electric aircraft has received permission to fly from the UK Civil Aviation Authority.",https://cleantechnica.com/2023/01/02/the-wait-for-hydrogen-fuel-cell-electric-aircraft-just-got-shorter/#zox-comments-button
8,7,"What is the ""Danger Season""?","As spring turns to summer and the days warm up, the Northern Hemisphere enters the period known as Danger Season, when wildfires, heat waves, and hurricanes, all amplified by climate change, begin to ramp up. In the western United States, the start of Danger Season is marked by the shift from the wintertime wet season to the summertime dry season. While wildfires can and do occur all year round, this shift from cool and wet to warm and dry marks the start of wildfire season in the region.",https://cleantechnica.com/2023/05/15/what-does-a-normal-year-of-wildfires-look-like-in-a-changing-climate/
9,8,Is Mississipi an anti-ESG state?,"Mississippi is among two dozen or so states in which Republican governors, legislators, treasurers, and attorneys general have been railing against ESG (environmental, social governance) corporate risk management principles.",https://cleantechnica.com/2023/05/15/mississippi-takes-green-hydrogen-to-next-level/#zox-comments-button
10,9,Can you hang solar panels on garden fences?,"Scaling down from the farm to the garden level, another company is now offering plug & play solar panels that you can hang on garden fences. German startup Green Akku has created this clever little solar PV option. (There are a lot of home gardens in Germany, and a lot of interest in solar.)",https://cleantechnica.com/2023/05/18/solar-panels-for-garden-fences-plug-play-solar-gone-wild/
11,10,Who develops quality control systems for ocean temperature in-situ profiles?,"Scientists from the Chinese Academy of Sciences’ (CAS) Institute of Atmospheric Physics (IAP) and their associates offer a novel climatological range-based automatic quality control system for ocean temperature in-situ profiles. This system is known as CAS Ocean Data Center–Quality Control system, or CODC–QC for short, and comprises 14 distinct quality checks to pinpoint outliers.",https://www.azocleantech.com/news.aspx?newsID=32873
12,11,Why are milder winters detrimental for grapes and apples?,"Since grapes and apples are perennial species, they have adapted to consistent climate patterns and have fine-tuned their winter responses to help them enter dormancy in the fall at the right time, and break bud in the spring at the right time. As our winter's get more mild, they are also getting more erratic. It is very difficult for growers to mitigate these sorts of large-scale swings in temperature.",https://www.azocleantech.com/news.aspx?newsID=33040
13,12,What are the basic recycling steps for solar panels?,"There are some simple recycling steps that can be taken to reduce the waste volume, including removing the panels’ frames, glass covers, and solar connectors before they are disposed of.",https://www.azocleantech.com/news.aspx?newsID=33143
14,13,Why does melting ice contribute to global warming?,"Whereas white ice reflects the sun's rays, a dark sea absorbs over ten times as much solar energy, contributing to global warming.",https://www.azocleantech.com/news.aspx?newsID=33149
15,14,Does the Swedish government plan bans on new petrol and diesel cars?,The Swedish government has proposed a ban on new petrol and diesel cars from 2030 to reduce carbon dioxide emissions.,https://www.azocleantech.com/news.aspx?newsID=33174
16,15,Where do the turbines used in Icelandic geothermal power plants come from?,Minister Nishimura mentioned that most geothermal power plants in Iceland use turbines made by Japanese companies.,https://www.thinkgeoenergy.com/japan-and-iceland-agree-on-geothermal-energy-cooperation/
17,16,Who is the target user for Leapfrog Energy?,"O’Brien added, “Subsurface specialists need flexible and fast tools like Leapfrog Energy to understand subsurface conditions and share their knowledge in a way that resonates with technical and non-technical stakeholders.”",https://www.thinkgeoenergy.com/seequent-expands-subsurface-capabilities-with-leapfrog-energy/
18,17,What is Agrivoltaics?,"Agrivoltaics, the integration of food production and solar energy, is an emerging technology that makes better use of limited land and soil resources.",https://www.pv-magazine.com/2023/03/31/new-software-modeling-tool-for-agrivoltaics/#comments
19,17,What is Agrivoltaics?,"Agrivoltaics refers to the conduct of agricultural activity within a solar array. A relatively new field, agrivoltaics is a departure from the common practice of not really attempting to grow anything at all under a ground-mounted solar panel, except perhaps for some grass that needs to be mowed down at regular intervals.",https://cleantechnica.com/2022/12/18/agrivoltaics-goes-nuclear-on-california-prairie/
20,18,Why is cannabis cultivation moving indoors?,"Cannabis cultivation can take place outdoors, indoors, or in greenhouses. While outdoor cultivation worked for millennia, the growth of the industry and increased demand for higher-quality product – plus tight profit margins – have prompted producers to go indoors, where ideal environments can be replicated. Indoor growth gives control over environmental factors and flowering periods. More importantly, it means consistent, year-round harvests.",https://www.pv-magazine.com/2023/04/08/high-time-for-solar/#comments
21,19,What are the obstacles for cannabis producers when it comes to using solar energy?,"“There are a lot of prevailing headwinds for cannabis to adopt more solar,” says Mochulsky. “Access to a lot of financial instruments is just not available. We cannot get a standard loan from the standard banks. We can’t, for example, mortgage a company. Cannabis companies don’t have availability to things like bankruptcy. Federal illegality also means we don’t have access to state and federal tax-credit programs [such as the Inflation Reduction Act]. Investors are much more attuned to that degree of risk. After all, if a company can’t restructure, it has to fail.”",https://www.pv-magazine.com/2023/04/08/high-time-for-solar/#comments
22,20,"In 2021, what were the top 3 states in the US in terms of total solar power generating capacity?","In 2021, Florida surpassed North Carolina to become third in the nation in total solar power generating capacity, after California and Texas.",https://cleantechnica.com/2023/04/10/solar-power-in-florida/
23,21,Which has the higher absorption coefficient for wavelengths above 500m - amorphous germanium or amorphous silicon?,We chose amorphous germanium instead of amorphous silicon as absorber material because of its higher absorption coefficient for wavelengths above 500 nm.,https://www.pv-magazine.com/2021/01/15/germanium-based-solar-cell-tech-for-agrivoltaics/#respond
